pattern,complexity_response,beauty_response,rt,is_repeated,trial
182,14,29,5680,False,1
187,18,12,11112,False,2
195,18,26,3735,False,3
168,7,78,5770,True,4
214,32,41,17843,False,5
175,0,4,18034,True,6
166,10,8,2587,True,7
205,8,7,3837,False,8
185,23,21,2219,False,9
181,5,41,2950,True,10
216,30,30,3972,False,11
177,14,47,4393,False,12
194,30,39,4083,False,13
165,46,45,4731,False,14
202,30,36,3590,False,15
197,52,58,3463,False,16
201,30,50,3428,False,17
203,9,17,2558,False,18
166,10,11,2032,True,19
179,3,7,2693,False,20
172,29,24,10718,True,21
200,32,28,5200,False,22
212,19,20,3481,False,23
170,14,12,1802,False,24
210,1,3,3201,False,25
174,7,7,2347,False,26
184,13,10,2185,False,27
176,34,59,2115,False,28
198,22,50,2408,True,29
211,21,31,9679,False,30
186,23,23,2678,False,31
209,14,39,2708,False,32
208,9,10,3061,False,33
173,11,35,2144,False,34
191,5,13,1954,False,35
169,11,11,1761,False,36
189,2,4,2429,False,37
183,5,38,2941,False,38
196,27,27,2079,False,39
199,7,10,1683,False,40
175,2,4,25529,True,41
172,23,23,1907,True,42
207,34,33,3734,False,43
192,28,29,2583,False,44
190,20,25,2511,False,45
164,29,32,3151,False,46
198,22,27,2101,True,47
204,9,13,2388,False,48
213,47,47,6062,False,49
215,23,25,3236,False,50
181,5,14,2029,True,51
178,3,32,1988,False,52
163,2,1,2599,False,53
171,7,13,3182,False,54
193,1,18,1705,False,55
168,5,18,1479,True,56
180,2,6,2648,False,57
188,10,19,1938,False,58
167,6,7,7495,False,59
206,3,12,2117,False,60
