"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","visible_complexity_rating ~ 1 + (1 | subject)","6248.9","6266.1","265.2","0.21","9.4e-05","0.16","0.00028","0.89","1.3e-05","0.92","3.2e-05"
"2","visible_complexity_rating ~ LSC + (1 | subject)","5928.2","5951.2","1417.3","0.31","6.9e-05","0.27","0.00026","0.83","4.2e-05","0.86","0.00016"
"3","visible_complexity_rating ~ intricacy + (1 | subject)","5982.5","6005.5","656.2","0.3","2.7e-05","0.25","0.00022","0.84","1.9e-05","0.87","0.00014"
"4","visible_complexity_rating ~ imagined_complexity_rating + (1 | subject)","3347.6","3370.6","11354","0.77","9.6e-05","0.76","0.00041","0.47","0.00012","0.48","0.00047"
"5","visible_complexity_rating ~ LSC + intricacy + (1 | subject)","5847.7","5876.4","1431.1","0.34","6e-05","0.3","0.00026","0.81","4.2e-05","0.84","0.00017"
"6","visible_complexity_rating ~ LSC + intricacy + imagined_complexity_rating + (1 | subject)","3156.7","3191.2","18968","0.79","0.00013","0.79","0.00057","0.45","0.00018","0.46","0.00072"
"7","visible_complexity_rating ~ underlying_LSC + underlying_intricacy + (1 | subject)","5635.3","5664.1","1793.2","0.4","6.8e-05","0.36","0.00034","0.78","4.9e-05","0.8","0.00026"
"8","visible_complexity_rating ~ LSC + intricacy + num_revealed + num_colours + (1 | subject)","5853.4","5893.6","1308.2","0.34","5.2e-05","0.3","0.00022","0.81","3.8e-05","0.84","0.00015"
"9","visible_complexity_rating ~ LSC + intricacy + underlying_LSC + underlying_intricacy + (1 | subject)","5460.7","5501","5880.3","0.45","0.00025","0.41","0.0011","0.74","0.00015","0.77","7e-04"
"10","visible_complexity_rating ~ LSC * intricacy + underlying_LSC * underlying_intricacy + (1 | subject)","5464.8","5516.5","6237.7","0.45","0.00027","0.41","0.0012","0.74","0.00016","0.77","0.00074"
"11","visible_complexity_rating ~ LSC * underlying_LSC + intricacy * underlying_intricacy + (1 | subject)","5453.9","5505.7","5217.6","0.45","0.00021","0.42","0.001","0.74","0.00013","0.77","0.00062"
"12","visible_complexity_rating ~ LSC_sq + intricacy_sq + underlying_LSC_sq + underlying_intricacy_sq + (1 | subject)","5537.1","5577.3","4468.3","0.43","0.00019","0.39","0.00089","0.76","0.00012","0.78","0.00057"
"13","visible_complexity_rating ~ LSC + intricacy + underlying_LSC + underlying_intricacy + ((LSC + underlying_LSC) | subject)","5274.9","5343.9","3855.9","0.54","3.6e-05","0.46","0.00076","0.68","3.6e-05","0.73","0.00052"
"14","visible_complexity_rating ~ LSC * underlying_LSC + intricacy * underlying_intricacy + ((LSC + intricacy) | subject)","5308.1","5388.5","3121.4","0.53","2e-04","0.45","0.00081","0.69","0.00013","0.74","0.00056"
"15","visible_complexity_rating ~ LSC * underlying_LSC + intricacy * underlying_intricacy + ((LSC + underlying_LSC) | subject)","5268.4","5348.9","3762.8","0.55","4.2e-05","0.47","0.00076","0.67","4.1e-05","0.73","0.00052"
"16","visible_complexity_rating ~ LSC * underlying_LSC + intricacy * underlying_intricacy + ((intricacy + underlying_intricacy) | subject)","5357.2","5437.7","3183","0.52","1e-04","0.45","0.00061","0.7","7.8e-05","0.75","0.00044"
