"Variable","Coefficients","ExpCoefficients","Significance"
"uLSC",-0.0849844149461718,0.918526599576403,"."
"vLSC",-0.341011679324459,0.711050603567207,"***"
"uInt",0.17272398944494,1.18853801077131,"***"
"vInt",0.185415168653263,1.2037180824178,"**"
"Subject2",2.96996107423975,19.4911608730092,"***"
"Subject3",3.56815599781545,35.4511608234883,"***"
"Subject4",2.84856501683684,17.2629919554858,"***"
"Subject5",3.64520454622454,38.2906042491236,"***"
"Subject6",1.24364732858448,3.46824023552275,"NS"
"Subject7",3.78490495611465,44.0314854364143,"***"
"Subject8",3.47855995924652,32.4130123932231,"***"
"Subject9",0.205670926825636,1.22834892080099,"NS"
"Subject10",4.29106627150459,73.0443120595942,"***"
"Subject11",3.09304755526317,22.04415649625,"***"
"Subject12",4.53678862396187,93.3904063258542,"***"
"Subject13",0.94328795583654,2.56841237688946,"NS"
"Subject14",3.29125070151391,26.8764570693981,"***"
"Subject15",4.55995181276608,95.578874037536,"***"
"Subject16",4.45745638771379,86.2677979540288,"***"
"Subject17",3.18908085695195,24.2661131604421,"***"
"Subject18",2.62059705126515,13.7439269648976,"***"
"Subject19",2.85298581766023,17.3394771428609,"***"
"Subject20",2.32903013340924,10.267978133294,"**"
"Subject21",3.466529643143,32.0254097740319,"***"
"Subject22",2.69538498304108,14.8112197242403,"***"
"Subject23",3.11238868742316,22.474665283789,"***"
"Subject24",4.03524455680041,56.5567498849807,"***"
"Subject25",3.13349836588348,22.9541412277888,"***"
"Subject26",1.20632740642268,3.34119125449752,"NS"
"Subject27",2.14319612934373,8.52664638909342,"**"
"Subject28",4.01793788688503,55.5863621937877,"***"
"Subject29",0.688432262357812,1.99059235915227,"NS"
"uLSC:vLSC",-0.595916736402346,0.551057160082863,"***"
"uInt:vInt",-0.140887826129946,0.868586738969156,"***"
